datetime,station_id,lat,lon,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,overall_aqi,day_of_week,month,hour_sin,hour_cos
2021-01-02 15:00:00+00:00,6943,19.1135051,73.008978,1610.0,,109.72,22.75,211.0,128.8,,5.53,,16100,5,1,-0.7071067811865471,-0.7071067811865479
2021-01-02 15:30:00+00:00,6943,19.1135051,73.008978,1510.0,,,,,,,,,15100,5,1,-0.7071067811865471,-0.7071067811865479
2021-01-02 16:15:00+00:00,6943,19.1135051,73.008978,1370.0,,74.78,19.72,228.0,135.0,,5.79,,13700,5,1,-0.8660254037844385,-0.5000000000000004
2021-01-02 17:30:00+00:00,6943,19.1135051,73.008978,1100.0,,41.26,34.21,218.78,144.0,,4.63,,11000,5,1,-0.9659258262890683,-0.25881904510252063
2021-01-02 17:45:00+00:00,6943,19.1135051,73.008978,1300.0,,73.71,17.01,222.0,144.0,,3.77,,13000,5,1,-0.9659258262890683,-0.25881904510252063
2021-01-03 07:00:00+00:00,6943,19.1135051,73.008978,1130.0,,38.99,98.76,278.0,167.76,,6.22,,11300,6,1,0.9659258262890683,-0.25881904510252063
2021-01-03 07:30:00+00:00,6943,19.1135051,73.008978,1130.0,,49.65,116.14,273.18,172.0,,6.25,,11300,6,1,0.9659258262890683,-0.25881904510252063
2021-01-03 07:45:00+00:00,6943,19.1135051,73.008978,1210.0,,58.52,106.01,264.0,172.0,,5.59,,12100,6,1,0.9659258262890683,-0.25881904510252063
2021-01-03 08:00:00+00:00,6943,19.1135051,73.008978,1080.0,,58.87,124.44,264.0,166.9,,5.4,,10800,6,1,0.8660254037844387,-0.4999999999999998
2021-01-03 08:15:00+00:00,6943,19.1135051,73.008978,1200.0,,61.2,119.53,264.0,155.0,,5.12,,12000,6,1,0.8660254037844387,-0.4999999999999998
2021-01-03 09:15:00+00:00,6943,19.1135051,73.008978,1110.0,,60.56,143.38,256.0,150.0,,5.98,,11100,6,1,0.7071067811865476,-0.7071067811865475
2021-01-03 09:30:00+00:00,6943,19.1135051,73.008978,1190.0,,63.63,134.49,250.49,150.0,,4.9,,11900,6,1,0.7071067811865476,-0.7071067811865475
2021-01-03 10:00:00+00:00,6943,19.1135051,73.008978,1180.0,,77.66,130.42,240.0,150.29,,5.5,,11800,6,1,0.49999999999999994,-0.8660254037844387
2021-01-03 12:15:00+00:00,6943,19.1135051,73.008978,1070.0,,76.63,82.26,221.0,126.0,,6.45,,10700,6,1,1.2246467991473532e-16,-1.0
2021-01-03 13:30:00+00:00,6943,19.1135051,73.008978,1160.0,,78.86,43.76,207.9,119.0,,4.47,,11600,6,1,-0.2588190451025208,-0.9659258262890683
2021-01-03 14:00:00+00:00,6943,19.1135051,73.008978,1760.0,,114.44,11.95,202.0,117.13,,9.8,,17600,6,1,-0.4999999999999997,-0.8660254037844388
2021-01-03 14:45:00+00:00,6943,19.1135051,73.008978,1360.0,,90.48,19.17,210.0,113.0,,6.26,,13600,6,1,-0.4999999999999997,-0.8660254037844388
2021-01-03 15:00:00+00:00,6943,19.1135051,73.008978,1410.0,,102.61,16.73,210.0,114.73,,6.12,,14100,6,1,-0.7071067811865471,-0.7071067811865479
2021-01-03 15:45:00+00:00,6943,19.1135051,73.008978,1310.0,,70.72,19.45,215.0,119.0,,5.56,,13100,6,1,-0.7071067811865471,-0.7071067811865479
2021-01-03 17:00:00+00:00,6943,19.1135051,73.008978,1330.0,,59.19,36.83,208.0,125.4,,5.63,,13300,6,1,-0.9659258262890683,-0.25881904510252063
2021-01-03 17:15:00+00:00,6943,19.1135051,73.008978,1070.0,,48.26,61.12,208.0,124.0,,6.51,,10700,6,1,-0.9659258262890683,-0.25881904510252063
2021-01-03 17:45:00+00:00,6943,19.1135051,73.008978,1180.0,,34.21,49.65,203.0,124.0,,4.71,,11800,6,1,-0.9659258262890683,-0.25881904510252063
2021-01-03 18:45:00+00:00,6943,19.1135051,73.008978,960.0,,38.54,51.78,200.0,124.0,,5.17,,9600,6,1,-1.0,-1.8369701987210297e-16
2021-01-03 19:30:00+00:00,6943,19.1135051,73.008978,1000.0,,45.44,47.35,200.36,122.0,,7.3,,10000,6,1,-0.9659258262890684,0.2588190451025203
2021-01-03 19:45:00+00:00,6943,19.1135051,73.008978,1220.0,,70.07,23.96,201.0,122.0,,7.96,,12200,6,1,-0.9659258262890684,0.2588190451025203
2021-01-03 20:00:00+00:00,6943,19.1135051,73.008978,1050.0,,81.07,32.08,201.0,122.3,,9.19,,10500,6,1,-0.8660254037844386,0.5000000000000001
2021-01-03 20:15:00+00:00,6943,19.1135051,73.008978,1080.0,,105.74,,201.0,,,,,10800,6,1,-0.8660254037844386,0.5000000000000001
2021-01-03 20:45:00+00:00,6943,19.1135051,73.008978,920.0,,80.45,33.65,201.0,123.0,,7.61,,9200,6,1,-0.8660254037844386,0.5000000000000001
2021-01-03 22:15:00+00:00,6943,19.1135051,73.008978,940.0,,54.12,16.4,183.0,115.0,,8.69,,9400,6,1,-0.5000000000000004,0.8660254037844384
