datetime,predicted_aqi
2025-09-07 00:45:00+05:30,47.22641789596014
2025-09-07 01:45:00+05:30,46.17871918104853
2025-09-07 02:45:00+05:30,38.19415151990791
2025-09-07 03:45:00+05:30,39.6384430045386
2025-09-07 04:45:00+05:30,36.739134215406565
2025-09-07 05:45:00+05:30,46.020531674697466
2025-09-07 06:45:00+05:30,49.012513865233686
2025-09-07 07:45:00+05:30,52.313785323441195
2025-09-07 08:45:00+05:30,50.27291593361507
2025-09-07 09:45:00+05:30,51.94274766455245
2025-09-07 10:45:00+05:30,45.64222414199977
2025-09-07 11:45:00+05:30,45.638409299041264
2025-09-07 12:45:00+05:30,46.80608360421616
2025-09-07 13:45:00+05:30,43.24998685841717
2025-09-07 14:45:00+05:30,43.56078017091754
2025-09-07 15:45:00+05:30,45.47909136184418
2025-09-07 16:45:00+05:30,44.73570560081384
2025-09-07 17:45:00+05:30,46.9253521637221
2025-09-07 18:45:00+05:30,49.549319812867935
2025-09-07 19:45:00+05:30,48.71727092610407
2025-09-07 20:45:00+05:30,53.465821187619824
2025-09-07 21:45:00+05:30,46.0343265506874
2025-09-07 22:45:00+05:30,46.51827171626744
2025-09-07 23:45:00+05:30,44.056052649238815
2025-09-08 00:45:00+05:30,45.508633845951984
2025-09-08 01:45:00+05:30,46.5898713762597
2025-09-08 02:45:00+05:30,35.226370599853944
2025-09-08 03:45:00+05:30,37.74537390211867
2025-09-08 04:45:00+05:30,36.134442526680445
2025-09-08 05:45:00+05:30,45.92556439273695
2025-09-08 06:45:00+05:30,45.414050851700985
2025-09-08 07:45:00+05:30,54.10375014283058
2025-09-08 08:45:00+05:30,51.025266950674805
2025-09-08 09:45:00+05:30,49.302340213875695
2025-09-08 10:45:00+05:30,47.76403057451765
2025-09-08 11:45:00+05:30,44.39249008137328
2025-09-08 12:45:00+05:30,46.75147160806084
2025-09-08 13:45:00+05:30,43.1734447072219
2025-09-08 14:45:00+05:30,44.21537778304093
2025-09-08 15:45:00+05:30,46.73166801290027
2025-09-08 16:45:00+05:30,47.625303409964246
2025-09-08 17:45:00+05:30,46.689605269383975
2025-09-08 18:45:00+05:30,50.85672023681049
2025-09-08 19:45:00+05:30,50.55072340053308
2025-09-08 20:45:00+05:30,48.60801239006139
2025-09-08 21:45:00+05:30,45.21912674542637
2025-09-08 22:45:00+05:30,45.64680929419621
2025-09-08 23:45:00+05:30,48.15107733008498
2025-09-09 00:45:00+05:30,46.973813514928345
2025-09-09 01:45:00+05:30,43.49787928287008
2025-09-09 02:45:00+05:30,37.66021200032337
2025-09-09 03:45:00+05:30,36.490105260965656
2025-09-09 04:45:00+05:30,36.00857695480883
2025-09-09 05:45:00+05:30,47.41610257136741
2025-09-09 06:45:00+05:30,48.1079755162513
2025-09-09 07:45:00+05:30,52.58412615686326
2025-09-09 08:45:00+05:30,49.6628489191642
2025-09-09 09:45:00+05:30,50.537344279030464
2025-09-09 10:45:00+05:30,46.95342830510427
2025-09-09 11:45:00+05:30,48.016477138020626
